author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Vishaan Chakrabarti,13,architect/designer,journalist/media; planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/chakrabarti-vishaan/,"is an architect, urbanist and author based in New York City. He is a Vital City contributing writer. His latest book is ""The Architecture of Urbanity"" (2024). He is also the author of ""A Country of Cities: A Manifesto for an Urban America"" (2013).",matched Vital City bio keywords
Charles Komanoff,4,government/public sector,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/komanoff-charles/,is an architect of New York City's congestion pricing program and a former head of Transportation Alternatives. He was an energy analyst and utility expert for New York City and states from New York to California.,matched Vital City bio keywords
Claire Weisz,2,planner/policy,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/weisz-claire/,"is the founding partner of WXY, the New York City-based architecture, urban design and planning firm.",matched Vital City bio keywords
Joe McReynolds,2,academic,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/mcreynolds-joe/,"is co-author of ""Emergent Tokyo: Designing the Spontaneous City"" and a researcher and Ph.D. candidate at Keio University’s Almazan Architecture and Urban Studies Laboratory in Japan.",matched Vital City bio keywords
Clare Miflin,1,architect/designer,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/miflin-clare/,is an architect and the founder of the Center for Zero Waste Design.,matched Vital City bio keywords
Eddie Palka,1,academic,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/palka-eddie/,"is a practicing architect, an adjunct assistant professor at Columbia University, and an associate research scholar at the school’s Housing Lab. He is a senior research fellow at the NYIT Center for Offsite Construction.",matched Vital City bio keywords
Frank Greene,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/greene-frank/,is a New York City-based architect with more than 40 years of experience in the justice industry. He is a leader in the courts and corrections field across North America.,matched Vital City bio keywords
Margery Perlmutter,1,attorney/lawyer,planner/policy; architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/perlmutter-margery/,"is a land use lawyer, architect and founder of Urban Factors consultancy. She is a former chair of the NYC Board of Standards and Appeals.",matched Vital City bio keywords
Priya Varadachary,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/priya-varadachary/,is a strategist based in Brooklyn with a background in architecture and economics. She has been renovating a pre-war Brooklyn building for the past decade and grew up the daughter of a civil servant.,matched Vital City bio keywords
Thomas de Monchaux,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/de-monchaux-thomas/,"is the architecture critic for N+1. His writing has appeared in The New Yorker, The New York Review of Architecture, Architectural Record and other publications.",matched Vital City bio keywords
Wade Graham,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/graham-wade/,"ia author of ""Dream Cities: Seven Urban Ideas That Shape the World,"" and a historian and landscape designer in Los Angeles.",matched Vital City bio keywords
