approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,mamdani-city-run-grocery-stores-small-businesses-nyc,Mamdani’s Choice: Support Small Businesses or Open State-Backed Competition,2026-05-13,Governance,Economy;Governance,article,high,"The piece examines the tension between Mayor Mamdani's small-business rhetoric and his plan for state-backed supermarkets, a policy contradiction rooted in economic and governance trade-offs.",City Government
yes,nyc-wooden-water-tanks-architecture-history,New York’s Wooden Water Tanks: A Perfect Fusion of Form and Function,2026-05-12,Transit;Culture,Other,article,high,Architectural and infrastructural history of water tanks; no connection to Ted's civic-policy/public-safety domains.,"Infrastructure, History"
yes,public-sector-unions-city-politics,The Unions and the Cities,2026-05-04,Economy;Governance,Governance,article,high,"A substantive analysis of public-sector union power, political influence, and municipal governance—core governance concern, not primarily about economy or labor relations in isolation.","Labor, City Government"
yes,nyc-government-ai-accountability-discretion,"Government AI, the Road to More Bureaucratic Discretion and Accountability",2026-04-29,Economy;Governance,Governance,article,high,Piece examines how AI tools can reform municipal bureaucracy and administrative decision-making; core governance topic about institutional responsiveness and rule-making.,"Technology, Artifical Intelligence, City Government"
yes,new-yorkers-help-each-other-despite-stereotype,New York's Nameless Knights,2026-04-22,Culture;Transit,Subway;Homelessness,article,medium,A personal essay about a rescue on the subway involving someone experiencing homelessness; touches both transit and social conditions but leans more toward human interest than policy.,"The Spirit of the City, Neighborhood Life, Transit"
yes,nyc-homeless-encampments-spending-81k,"Homeless Encampments, Expenditures and the Evidence We Keep Ignoring",2026-04-16,Homelessness;Governance,Homelessness,article,high,"This is a substantive evidence-based analysis of homelessness policy and encampment resolution strategies; Governance tag is descriptive window-dressing (the piece critiques resource allocation within homelessness services, not broader governance questions).","Homelessness, City Government"
yes,nyc-speed-cameras-road-safety-mamdani-policy,A Road Safety Blueprint for the Mamdani Administration,2026-04-07,Transit;Governance,Traffic enforcement,article,high,"The piece is squarely about speed cameras and automated traffic enforcement as a road safety tool; while it touches governance context, the core subject is traffic enforcement policy and evidence.","Streets, City Government"
yes,new-york-rent-stabilization-law-supreme-court-clash,"Rent Stabilization: What’s Constitutional, Anyway?",2026-03-31,Housing;Governance,Housing;Politics,article,medium,"Primarily about housing regulation and constitutionality, but framed through political/electoral debates and Supreme Court doctrine rather than physical housing itself.","Housing, Federal Government"
yes,navigating-apartment-hunting-rising-rent-in-nyc,It's a Jungle Out There,2026-03-25,Housing;Culture,Housing,article,high,"A personal narrative about the NYC rental market and affordability crisis, grounded in lived experience of apartment-hunting.","Housing, History"
yes,mamdani-rent-freeze-nyc-rent-guidelines-board-explained,Can Mayor Mamdani Freeze the Rent? It’s Complicated,2026-03-18,Housing;Governance,Housing,article,high,Piece focuses on rent stabilization policy and the Rent Guidelines Board's decision-making process; governance context is secondary to the housing-policy substance.,"Housing, City Government"
yes,snow-complaints-staten-island-nyc,For Whom the Plows Come,2026-03-02,Governance;Transit,Governance,article,high,"A 311 data analysis exposing differential city service delivery (snow plowing) across boroughs is fundamentally about governance and resource allocation, not transit or sanitation infrastructure per se.","Sanitation, Infrastructure, City Government"
yes,nyc-trash-removal-cost-mamdani,The Hidden Cost of Trash,2026-03-02,Governance,Housing;Economy,article,high,The piece examines waste-removal costs as a hidden burden on residential landlords and their tenants under a rent-freeze policy—primarily a housing affordability and economics question.,"Sanitation, City Government"
yes,compstat-safestat-public-safety-nyc-mamdani,"CompStat, Meet SafeStat",2026-02-19,Policing;Culture,Public Safety Strategy,article,high,"This is a strategic analysis of how NYC should measure public safety outcomes through a new 'SafeStat' framework, directly addressing public safety measurement and governance innovation.","Police Reform, Where We’re Headed, Neighborhood Life"
yes,mass-engagement-mamdani-nyc,"Mayor Mamdani, Here’s What Mass Engagement Looks Like in Practice",2026-02-10,Governance;Culture,Governance,article,high,"This is a normative piece about democratic engagement mechanisms and mayoral administration strategy, not about a specific public safety, housing, or NYC service domain.","Civic Life, Governance, Neighborhood Life"
yes,zohran-mamdani-technology-innovation-new-york,Technology Transformation Will Make or Break Progressive Governance,2026-01-29,Economy;Governance,Governance,article,high,A substantive policy essay on how municipal government should modernize its institutional capacity and IT infrastructure to deliver on the mayor's agenda.,"Technology, City Government, Artifical Intelligence"
