metric,value
primary_background::academic,149
primary_background::architect/designer,6
primary_background::artist/culture,3
primary_background::attorney/lawyer,22
primary_background::business/finance,21
primary_background::government/public sector,46
primary_background::house/byline,4
primary_background::journalist/media,49
primary_background::nonprofit/advocacy,37
primary_background::planner/policy,13
primary_background::unknown,85
confidence::high,206
confidence::low,85
confidence::medium,144
