author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Elizabeth Glazer,45,government/public sector,attorney/lawyer; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/glazer-elizabeth/,is the founder of Vital City. She has previously served as a federal prosecutor and as the criminal justice adviser to a New York Governor and New York City mayor.,matched Vital City bio keywords
David Schleicher,7,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/schleicher-david/,is the Walter E. Meyer Professor of Property and Urban Law at Yale Law School.,matched Vital City bio keywords
Hernandez Stroud,4,attorney/lawyer,academic; planner/policy,high,external_profile,https://www.publichealth.columbia.edu/profile/hernandez-stroud-jd,is a counsel in the Justice Program of the Brennan Center for Justice at New York University School of Law.,Counsel at Brennan Center and adjunct assistant professor at Columbia Mailman.
Howard Yaruss,4,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/yaruss-howard/,"is an attorney and economist, and author of the book ""Understandable Economics.""",matched Vital City bio keywords
Jake Berman,3,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/berman-jake/,"is a lawyer, cartographer, historian and the author of ""The Lost Subways of North America."" Originally born in San Francisco, he now lives in Brooklyn.",matched Vital City bio keywords
Marc A. Levin,3,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/levin-marc-a/,is chief policy counsel for the Council on Criminal Justice.,matched Vital City bio keywords
Andrew Weissmann,2,academic,journalist/media; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/weissmann-andrew/,"is a professor at NYU School of Law and co-host of the ""Prosecuting Donald Trump"" podcast. He is a former general counsel of the Federal Bureau of Investigation.",matched Vital City bio keywords
Eric A. Goldstein,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/goldstein-eric-a/,is a senior attorney and New York City environment director at the Natural Resources Defense Council.,matched Vital City bio keywords
Eric Gonzalez,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/gonzalez-eric/,was elected Brooklyn district attorney in 2017.,matched Vital City bio keywords
Karen Friedman Agnifilo,2,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/friedman-agnifilo-karen/,"is an attorney in private practice who served as chief assistant district attorney under Manhattan DA Cy Vance, culminating a three-decade career in prosecution and criminal justice policy.",matched Vital City bio keywords
Robert Polner,2,journalist/media,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/polner-robert/,"is a public affairs officer at NYU and former reporter for New York Newsday. He is the co-author of ""An Irish Passion for Justice,"" a biography of Mayor William O’Dwyer’s younger brother Paul, the New York politician, activist and lawyer (1907-1998).",matched Vital City bio keywords
Roderick Hills,2,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/hills-roderick/,"is the William T. Comfort III Professor of Law at NYU Law School, where he teaches and writes about constitutional law, administrative law, local government law and federalism.",matched Vital City bio keywords
