author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Vital City,79,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/vital/,,no Vital City bio
Elizabeth Glazer,45,government/public sector,attorney/lawyer; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/glazer-elizabeth/,is the founder of Vital City. She has previously served as a federal prosecutor and as the criminal justice adviser to a New York Governor and New York City mayor.,matched Vital City bio keywords
Greg Berman,34,journalist/media,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/berman-greg/,"is the author of ""The Nonprofit Crisis: Leadership Through the Culture Wars"" (Oxford) and the co-editor of Vital City.",matched Vital City bio keywords
Jamie Rubin,26,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/rubin-jamie/,is the chief investment officer of Aligned Climate Capital and chairman of the board of the New York City Housing Authority (NYCHA).,bio present but no rule hit
Josh Greenman,17,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/greenman-josh/,is the managing editor of Vital City. He was op-ed editor and editorial page editor of the New York Daily News from 2006 to 2022. He previously worked in political speechwriting and policy in New York and Washington.,matched Vital City bio keywords
A Survey,15,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/a-survey/,,no Vital City bio
Harry Siegel,14,journalist/media,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/siegel-harry/,"is a contributing writer for Vital City, a senior editor at the newsroom The City, a columnist at the New York Daily News and the executive producer and co-host of the FAQ NYC podcast.",matched Vital City bio keywords
Errol Louis,13,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/louis-errol/,"is the political anchor of Spectrum News NY1, where he hosts Inside City Hall, a nightly prime-time show that focuses on New York politics. He is a Vital City contributing writer.",matched Vital City bio keywords
Vishaan Chakrabarti,13,architect/designer,journalist/media; planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/chakrabarti-vishaan/,"is an architect, urbanist and author based in New York City. He is a Vital City contributing writer. His latest book is ""The Architecture of Urbanity"" (2024). He is also the author of ""A Country of Cities: A Manifesto for an Urban America"" (2013).",matched Vital City bio keywords
Ted Alcorn,12,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/alcorn-ted/,"is a reporter on health and justice for The New York Times and other publications, and teaches public policy at Columbia University Mailman School of Public Health and the NYU Robert F. Wagner School of Public Service.",matched Vital City bio keywords
Aaron Chalfin,11,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/chalfin-aaron/,is an associate professor of criminology at the University of Pennsylvania.,matched Vital City bio keywords
Brandon del Pozo,10,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/del-pozo-brandon/,"is an assistant professor of medicine at Brown University’s Warren Alpert Medical School and research scientist at Brown University Health. He was chief of police of Burlington, Vermont, and served with the NYPD from 1997 to 2015.",matched Vital City bio keywords
John Hall,8,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/hall-john/,is a retired police professional and a National Institute of Justice Law Enforcement Advancing Data and Science (LEADS) Scholar.,matched Vital City bio keywords
Nicole Gelinas,8,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/gelinas-nicole/,"is a Manhattan Institute senior fellow and author of the book ""Movement: New York’s Long War to Take Back Its Streets From the Car.""",bio present but no rule hit
