slug,buckets,notes
how-birth-cohort-affects-criminal-outcomes-robert-sampson,Criminal courts,bail/risk-assessment piece — about jail-bound decisions
new-york-city-gun-violence-down-major-crime-high,Crime data,quantitative crime trends piece
how-prevention-reduced-crime-suggestions-analysis,Public safety strategy,federal prevention investment grand strategy
mamdani-public-safety-strategy-nyc,Public safety strategy,Mamdani public safety strategy
crime-victims-can-help-point-the-way-forward,Crime data;Criminal courts,victim-survey + court-system piece
trump-sanctuary-cities-funding,Immigration,federal immigration enforcement
underground-gun-markets-urban-violence,Guns,gun trafficking
guns-my-family-and-me,Guns,gun politics
how-modern-bullets-maximize-lethality,Guns,ammo
licensed-to-kill-concealed-carry-training-course,Guns,concealed carry
the-case-against-futility-in-gun-regulation,Guns,gun regulation
gun-culture-then-and-now,Guns,gun culture
the-growth-of-the-firearm-industry,Guns,gun industry
the-80-20-rule-of-gun-supply,Guns,gun supply
the-money-behind-mass-shootings,Guns,mass shooting financing
what-we-know-and-dont-know-about-guns,Guns,gun research
the-good-gun-owner,Guns,gun owners
illegal-parking-and-failed-governance-ai-study-of-nypd-enforcement,Policing,traffic-enforcement piece
police-commissioner-jessica-tisch-vs-new-york-city-crime-and-corruption,Policing,Tisch profile
the-fear-factor-civility-on-the-subway,Subway;Crime data,subway disorder (updated 2026-05-20)
voting-rights-act-nyc-supreme-court,Politics,really a voting rights piece (not criminal courts)
nypd-gang-database-shooting-reduction,Policing,about NYPD strategy not criminal courts
how-civil-law-can-help-prevent-gun-tragedies,Guns,civil litigation about guns - not criminal courts
eric-adams-trials-are-a-trial-for-new-yorkers,Politics,electoral context not criminal courts
more-than-a-noble-gesture,Politics,political opinion piece not criminal courts
have-public-sector-unions-taken-the-place-of-tammany-hall,Governance,public sector unions piece (could become own domain later)
nyc-declining-murders-politics,Crime data;Politics,crime data + electoral politics
what-the-data-show-about-subway-safety,Subway;Crime data,subway safety data
safer-cities-in-context,Crime data,national crime trends
a-nation-and-city-less-secure,Federal policy,federal national security (one-off)
better-evidence-better-policy,Crime data;Research,research methodology piece
how-rare-is-crime-on-the-subway,Subway;Crime data,subway crime statistics
without-congestion-pricing-a-hollowed-out-subway-investment-plan,Cars,congestion pricing + subway funding
the-golden-age-of-crime-reduction-is-now,Crime data;Public safety strategy,national crime reduction analysis
what-brought-new-york-city-back-from-the-brink,Crime data;Policing,interview with practitioner about crime decline
how-new-york-city-is-engaging-the-mentally-ill-underground,Crisis response;Subway,interview about subway crisis response
incrementalism-beats-yolo,Public safety strategy,
new-york-citys-subways-moving-millions,Subway;Crime data,
challenges-around-every-bend-transit-workers-day-to-day,Subway,(also anthology type)
underground-safer-than-the-surface,Subway;Crime data,
saved-by-the-camera,Cars,
the-lawless-state-of-new-yorks-streets,Cars;Policing,
a-psychiatrist-explains-how-new-york-can-improve-the-care-of-the-mentally-ill-and-enhance-public-safety,Mental illness,
times-square-good-times-square-bad,Disorder;Public space,(also book_review)
when-buses-and-subways-were-free,Subway;Buses,strip over-tagging
job-creation-and-upward-mobility-for-affordability-mamdani,Economy,
is-new-york-broken,Other,personal reflection
why-cant-we-solve-the-homelessness-crisis-in-new-york-city,Homelessness,
is-it-possible-to-improve-nonprofit-design,Nonprofits,moved from Other
how-should-we-pay-for-transportation-new-york-city,Subway;Buses,
business-fears-real-and-imagined,Cars,
law-enforcement-against-fentanyl,Drugs;Policing,
when-we-ride-appreciating-the-subway,Subway,strip culture/governance over-tagging
why-walkability-matters,Public space;Cars,walkability + parking pricing
public-space-and-security,Public space,
shifting-power-to-the-community-an-experiment-in-brownsville,Policing;Community violence intervention,Brownsville experiment
radiator-steam-heat-history-nyc,Housing,utilities → housing catch-all
how-seqra-slows-housing-development-new-york,Housing;Governance,SEQRA + zoning + env review
mamdani-snow-emergency-response,Governance,snow response = governance/ops
explained-what-is-involuntary-removal-outdoor-deaths-nyc,Homelessness;Mental illness,
juvenile-justice-close-to-home-nyc-results,Youth,not Rikers - juvenile pathways
unhoused-new-yorkers-randy-santos-mamdani,Homelessness,
mamdani-parks-public-spaces-nyc,Public space,parks → public space not culture
mamdani-city-run-grocery-stores-small-businesses-nyc,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
nyc-wooden-water-tanks-architecture-history,Other,"AI-suggested, user-approved 2026-05-20"
public-sector-unions-city-politics,Governance,"AI-suggested, user-approved 2026-05-20"
nyc-government-ai-accountability-discretion,Governance,"AI-suggested, user-approved 2026-05-20"
new-yorkers-help-each-other-despite-stereotype,Subway;Homelessness,"AI-suggested, user-approved 2026-05-20"
nyc-homeless-encampments-spending-81k,Homelessness,"AI-suggested, user-approved 2026-05-20"
nyc-speed-cameras-road-safety-mamdani-policy,Cars,"AI-suggested, user-approved 2026-05-20"
new-york-rent-stabilization-law-supreme-court-clash,Housing;Politics,"AI-suggested, user-approved 2026-05-20"
navigating-apartment-hunting-rising-rent-in-nyc,Housing,"AI-suggested, user-approved 2026-05-20"
mamdani-rent-freeze-nyc-rent-guidelines-board-explained,Housing,"AI-suggested, user-approved 2026-05-20"
snow-complaints-staten-island-nyc,Governance,"AI-suggested, user-approved 2026-05-20"
nyc-trash-removal-cost-mamdani,Housing;Economy,"AI-suggested, user-approved 2026-05-20"
compstat-safestat-public-safety-nyc-mamdani,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
mass-engagement-mamdani-nyc,Governance,"AI-suggested, user-approved 2026-05-20"
zohran-mamdani-technology-innovation-new-york,Governance,"AI-suggested, user-approved 2026-05-20"
free-observation-decks-new-york,Public space,"AI-suggested, user-approved 2026-05-20"
minnesota-ice-alex-pretti-policing,Policing;Immigration,"AI-suggested, user-approved 2026-05-20"
children-domestic-violence-acs-family-court,Health & human services;Youth,"AI-suggested, user-approved 2026-05-20"
mamdani-universal-childcare-policy-questions,Youth;Governance,"AI-suggested, user-approved 2026-05-20"
nyc-grocery-cost-explained,Economy,"AI-suggested, user-approved 2026-05-20"
mamdani-housing-affordability-new-york,Housing,"AI-suggested, user-approved 2026-05-20"
revealing-hidden-signals-in-city-hotline-data,Crime data;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
zohran-mamdani-trump-maduro-nyc,Politics,"AI-suggested, user-approved 2026-05-20"
one-year-into-congestion-pricing-in-new-york-city,Cars,"AI-suggested, user-approved 2026-05-20"
the-future-of-renewable-rikers,Rikers & jails;Governance,"AI-suggested, user-approved 2026-05-20"
nstat-should-be-key-to-mamdani-public-safety-plan,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
how-mamdani-can-delivery-free-buses-and-subways-too,Subway;Buses,"AI-suggested, user-approved 2026-05-20"
new-york-needs-a-smarter-way-to-control-rents,Housing;Economy,"AI-suggested, user-approved 2026-05-20"
department-of-community-safety-and-universal-childcare-albequerque-new-york,Public safety strategy;Youth,"AI-suggested, user-approved 2026-05-20"
kathy-hochul-nese-pipeline-empire-wind,Climate,"AI-suggested, user-approved 2026-05-20"
tax-revenue-is-destiny,Economy;Politics,"AI-suggested, user-approved 2026-05-20"
mamdanis-victory-and-memories-of-dinkins,Politics,"AI-suggested, user-approved 2026-05-20"
how-modern-new-york-city-mayors-meet-the-moment,Politics,"AI-suggested, user-approved 2026-05-20"
mamdanis-charter-school-dilemma,Youth;Politics,"AI-suggested, user-approved 2026-05-20"
zohran-mamdani-michelle-wu-and-brandon-johnson,Politics,"AI-suggested, user-approved 2026-05-20"
no-city-for-old-monuments,Politics,"AI-suggested, user-approved 2026-05-20"
a-new-era-in-new-york-city-political-history,Politics,"AI-suggested, user-approved 2026-05-20"
mamdani-mailer-and-breslin-bringing-fun-to-new-york-city,Politics,"AI-suggested, user-approved 2026-05-20"
what-came-after-1975-new-york-fiscal-crisis,Governance,"AI-suggested, user-approved 2026-05-20"
new-yorks-next-mayor-must-put-heads-together,Politics,"AI-suggested, user-approved 2026-05-20"
move-local-elections-to-even-years,Politics,"AI-suggested, user-approved 2026-05-20"
flip-the-script-and-the-ballot-for-housing,Housing,"AI-suggested, user-approved 2026-05-20"
two-mayoral-debates-are-not-nearly-enough,Politics,"AI-suggested, user-approved 2026-05-20"
how-zohran-mamdani-can-get-out-of-the-gifted-and-talented-trap,Youth;Politics,"AI-suggested, user-approved 2026-05-20"
universal-child-care-could-be-a-seismic-shift-for-new-yorks-children,Youth,"AI-suggested, user-approved 2026-05-20"
why-isnt-education-at-the-center-of-the-new-york-city-mayoral-race,Youth;Politics,"AI-suggested, user-approved 2026-05-20"
the-one-debate-answer-that-spoke-volumes-about-zohran-mamdani,Politics,"AI-suggested, user-approved 2026-05-20"
can-cities-withstand-trumps-assault,Politics;Governance,"AI-suggested, user-approved 2026-05-20"
john-lindsay-zohran-mamdani-and-how-ambitions-collide-with-reality,Politics,"AI-suggested, user-approved 2026-05-20"
even-mamdanis-new-york-needs-millionaires,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
bill-de-blasio-role-model,Politics,"AI-suggested, user-approved 2026-05-20"
designing-cities-for-a-sustainable-climate-future,Public space;Climate,"AI-suggested, user-approved 2026-05-20"
percy-sutton-eric-adams-and-the-state-of-black-political-power-in-new-york,Politics;Race,"AI-suggested, user-approved 2026-05-20"
new-yorks-housing-crisis-self-inflicted-and-solvable,Housing,"AI-suggested, user-approved 2026-05-20"
a-housing-agenda-for-the-next-mayor,Housing,"AI-suggested, user-approved 2026-05-20"
teachings-from-tokyo,Housing,"AI-suggested, user-approved 2026-05-20"
learning-from-jersey-city,Housing,"AI-suggested, user-approved 2026-05-20"
