approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,waymo-nyc-robotaxi-future,A Different Waymo Future Is Possible,2026-05-07,Transit;Economy,Cars;Governance,article,high,Piece analyzes policy conditions for robotaxi deployment in NYC—a cars/streets issue intertwined with state/local regulatory authority and community control.,"Transit, Technology"
yes,pedestrian-foot-tracking-nyc-map-model-mit,"To Prioritize Pedestrians, We Need to Walk the Walk",2026-04-16,Housing;Transit,Public Space;Research,article,high,"Piece about pedestrian infrastructure, walkability, and urban design methodology using data collection to understand public realm movement patterns.","City Planning, Streets"
yes,london-low-traffic-neighborhoods-safety-urban-planning,London’s Quest for Low-Traffic Neighborhoods,2026-03-25,Transit,Cars;Public Space,interview,high,This is an interview (not a standard article) about London's low-traffic neighborhood policy—a street management intervention that reduces car traffic and reclaims public space; directly relevant to NYC's nascent LTN movement.,"Borrow and Steal, Streets"
yes,erin-dalton-data-driven-social-services-nyc,Can Erin Dalton Make Progress in Curbing Chronic Homelessness?,2026-03-11,Health & human services;Homelessness,Homelessness,article,high,"Profile of new social services commissioner focused on her track record reducing chronic homelessness; Homelessness is the primary subject, not Health & human services broadly.","Social Services, Homelessness"
yes,hochul-nuclear-energy-climate-new-york,Hochul’s Going Nuclear. Environmentalists Should Cheer Her On.,2026-02-04,Climate;Transit,Climate,article,high,"Nuclear energy policy and decarbonization strategy is a climate piece; Transit tag is misplaced—this is about electricity generation, not transportation.","Environment, Climate Change, Infrastructure"
yes,waymo-robotaxi-autonomous-driving-nyc,"Tokyo and London are Test-Driving Waymo. New York, Take Notes.",2026-01-28,Transit;Economy,Cars,article,high,"Core subject is autonomous vehicle regulation and deployment in NYC; transit angle is contextual, not primary.","Streets, Transit, Technology"
yes,mamdani-local-law-97-enforcement-pollution,A Crucial Tool in the Fight Against Pollution,2026-01-21,Climate;Transit,Climate,article,high,Piece focuses on Local Law 97 implementation as climate/pollution mitigation policy; transit tag is incorrect.,"Climate Change, Environment, Infrastructure"
yes,a-safer-cheaper-quicker-way-of-daylighting-intersections,"Daylight Savings: A Safer, Cheaper and Quicker Way to Design Intersections",2025-12-05,Transit;Policing,Public Space;Cars,article,high,"Piece about intersection design, sight lines, and street safety—a core urban realm / public space issue—with direct implications for car behavior and pedestrian safety.","Streets, Safety, Transportation"
yes,taking-mamdanis-revolution-to-the-streets,Taking Mamdani’s Revolution to the Streets,2025-12-04,Transit;Housing,Public Space;Cars,article,high,"The piece examines street design, pedestrianization, bus lanes, and the public realm—core Public Space concerns—alongside the tension between cars and other street users, fitting the Cars domain as well.","Streets, Transportation, City Planning"
yes,how-new-york-city-got-to-the-brink-of-hosting-vegas-style-casinos,Rolling the Dice? How New York City Came to Approve Three Vegas-Style Casinos,2025-11-25,Transit;Economy,Economy;Governance,article,high,"This is a policy explainer about NYC's casino-licensing process, blending economic development rationale with the governance/regulatory mechanism that approved them.","Infrastructure, Economics"
yes,what-mamdani-gets-wrong-about-severe-mental-illness-and-crisis-response,What Mamdani Gets Wrong About Severe Mental Illness & Crisis Response,2025-11-24,Health & human services,Mental illness;Crisis response;Public Safety Strategy,article,high,"Opinion piece by Adams administration official critiquing Mamdani's proposed Department of Community Safety, focusing on mental health crisis response infrastructure and service coordination.","Mental Health, Community Services"
yes,mamdani-department-of-community-safety-where-theory-meets-practice,A Department of Community Safety: Theory Meets Practice,2025-11-20,Health & human services;Homelessness;Policing,Crisis response;Mental illness,article,high,"The piece uses a Penn Station incident to examine how Mamdani's proposed Department of Community Safety should handle mental health crises—a core crisis response + mental illness intersection, not a policing critique.","Mental Health, Homelessness, Police-Community Relations"
yes,how-about-energy-affordability-for-new-york-city,How About Energy Affordability?,2025-11-06,Transit,Economy;Governance,article,high,Policy analysis of utility affordability crisis and governance reform at a nonprofit institution; not transit-related despite current miscategorization.,"Infrastructure, What to Do Now"
yes,the-devil-is-in-the-details-of-911-dispatch,The Devil Is in the Details (of 911 Dispatch),2025-11-06,Health & human services,Crisis response;Public Safety Strategy,article,high,"Deep dive into operational challenges of alternative (non-police) crisis response dispatch systems, directly addressing how to improve B-HEARD and similar programs.","Mental Health, What to Do Now, Public Health"
yes,a-budget-crash-course-for-zohran-mamdani,A Budget Crash Course for Zohran Mamdani,2025-08-01,Governance;Politics,Governance,article,high,"A prescriptive piece about mayoral fiscal preparedness and budget management, squarely within governance domain; Politics tag is secondary at best.","Budget, Mamdani, Government Operations"
yes,safe-only-at-certain-speeds,Safe Only at Certain Speeds,2025-07-16,Transit;Politics,Cars;Public Space,article,medium,Piece argues for e-bike speed governance as urban safety/design policy; Cars domain covers street safety and vehicle regulation broadly; Public Space captures the civic realm where this conflict plays out.,"Transportation, Politics"
yes,congestion-pricing-across-america,Congestion Pricing Across America,2025-05-29,Transit,Cars;Transit,article,high,"Congestion pricing is fundamentally about reducing car traffic and funding transit; this piece argues for nationwide adoption of NYC's model, spanning both domains equally.",Transportation
yes,if-free-buses-arent-wise-what-about-cheaper-citi-bikes,"If Free Buses Aren’t Wise, What About Cheaper Citi Bikes?",2025-04-23,Transit;Economy,Buses;Economy,article,medium,"Piece analyzes public subsidy policy for bike-share vs. transit fares; mirrors Ted's ""Beyond Free Buses"" example, which paired Buses with Public Safety Strategy, but here the economic/subsidy angle and comparison to transit pricing warrants Economy over a safety framing.","Transportation, Economics"
yes,new-york-city-isnt-ready-for-the-trump-stress-test,New York City Isn’t Ready for the Trump Stress Test,2025-03-20,Transit;Housing,Politics;Federal policy,article,high,"This is a governance-focused piece about federal pressure on NYC institutions under Trump administration policies, not primarily about transit or housing infrastructure.","Transportation, City Planning"
yes,want-to-fix-the-subway-stop-asking-it-to-be-something-its-not,Want to Fix the Subway? Stop Asking It To Be What It’s Not,2025-03-05,Transit;Housing,Subway;Homelessness,article,high,"Opinion piece arguing the subway should focus on transit, not social services—directly addresses homelessness and mental illness in subway context.","Transit, City Planning"
yes,artificial-intelligence-and-the-nonprofit-sector,Artificial Intelligence and the Nonprofit Sector,2025-03-03,Other;Economy,Nonprofits,article,high,"A straightforward explainer about AI adoption in the nonprofit sector, focused on how technology can improve nonprofit operations and mission delivery.","Currents, Technology, Journalism"
yes,congestion-pricing-to-the-rescue,Congestion Pricing to the Rescue,2025-02-27,Housing;Transit,Cars;Public Safety Strategy,article,high,"Piece is about congestion pricing as a traffic/cars policy solution with public safety/street management implications, not transit infrastructure per se.","City Planning, Transportation"
